Camborne
Location 1627E 407N 87m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1987   1    5.5     1.4       7    35.6    53.1
   1987   2    8.0     3.4       7    88.5    70.8
   1987   3    8.6     4.1       2    78.6   122.7
   1987   4   13.1     7.2       0    87.8   180.3
   1987   5   12.8     7.7       0    32.3   231.1
   1987   6   15.0    10.1       0    89.8   122.8
   1987   7   18.5    12.7       0    37.8   230.2
   1987   8   18.7    12.9       0    34.0   213.9
   1987   9   17.2    11.8       0    56.0   125.4
   1987  10   13.3     8.4       0   238.5   122.0
   1987  11   10.9     6.9       0   133.5    75.3
   1987  12    9.6     6.2       2    94.3    41.7
   1988   1   10.0     5.5       0   232.2    64.0
   1988   2    8.8     3.9       0    94.4   103.6
   1988   3    9.7     6.0       1   135.5    96.2
   1988   4   11.5     5.9       0    54.2   142.1
   1988   5   14.0     8.4       0    94.9   222.9
   1988   6   16.8    11.4       0    34.1   195.5
   1988   7   16.5    11.6       0   132.2   161.6
   1988   8   17.7    12.1       0   116.0   173.3
   1988   9   16.0    11.7       0    39.2   142.9
   1988  10   14.2     9.6       0   146.5    91.9
   1988  11   11.2     6.5       1    59.7   105.1
   1988  12   11.0     7.9       0    54.4    20.1
   1989   1   10.2     6.0       0    58.9    59.5
   1989   2   10.0     5.3       0   106.9    94.8
   1989   3   10.9     5.9       0   119.8    90.0
   1989   4   10.4     4.4       0    79.6   192.1
   1989   5   16.8    10.1       0     9.3   282.2
   1989   6   17.7    10.6       0    31.9   281.7
   1989   7   20.9    14.4       0    14.3   295.8
   1989   8   20.2    13.6       0    47.3   251.2
   1989   9   17.9    12.2       0    68.2   142.0
   1989  10   15.0    10.9       0   130.9    84.7
   1989  11   11.3     7.2       0   108.4    98.0
   1989  12   10.0     5.7       1   179.8    52.0
   1990   1   10.4     6.3       0   196.0    48.3
   1990   2   11.1     6.2       0   185.1    65.2
   1990   3   11.3     6.6       0    22.0   139.9
   1990   4   11.5     5.1       2    46.1   213.7
   1990   5   16.5    10.0       0    19.2   278.5
   1990   6   16.3    10.5       0    95.1   177.2
   1990   7   19.7    13.3       0    68.8   308.4
   1990   8   20.3    14.4       0    53.4   200.3
   1990   9   17.6    11.8       0    58.0   184.6
   1990  10   15.0    10.9       0    99.7    90.0
   1990  11   10.8     6.8       0   105.1   107.3
   1990  12    8.6     3.9       0   113.2    62.6
   1991   1    7.8     3.1       0   137.8    67.2
   1991   2    6.7     1.6       7    89.8    90.0
   1991   3   10.6     6.1       0   155.0   114.4
   1991   4   11.0     5.8       0   117.0   165.6
   1991   5   13.2     8.3       0     5.8   206.6
   1991   6   14.7    10.2       0   112.6   157.8
   1991   7   17.8    13.1       0    83.1   124.7
   1991   8   19.2    13.4       0    36.7   204.1
   1991   9   18.3    12.8       0    62.0   173.9
   1991  10   13.3     9.0       0   123.2    83.5
   1991  11   10.8     6.5       0    79.3    61.5
   1991  12    9.4     6.0       0    33.1    55.4
   1992   1    7.8     3.2       5    29.6    73.9
   1992   2    9.2     4.6       1    65.0    71.6
   1992   3   10.3     6.3       0    58.2    83.8
   1992   4   11.2     6.3       0   103.9   135.0
   1992   5   15.6     9.5       0    14.7   245.6
   1992   6   17.8    11.2       0     9.9   237.4
   1992   7   19.0    13.5       0    57.7   178.2
   1992   8   17.9    12.4       0   154.4   146.1
   1992   9   15.7    11.0       0    93.1   101.2
   1992  10   12.1     7.1       0    95.7   113.6
